Date;Prec_mm
1/11/2024;0.0
2/11/2024;0.0
3/11/2024;9.7
4/11/2024;0.0
5/11/2024;7.7
6/11/2024;0.0
7/11/2024;0.0
8/11/2024;0.0
9/11/2024;0.0
10/11/2024;8.5
11/11/2024;0.4
12/11/2024;0.1
13/11/2024;0.0
14/11/2024;0.0
15/11/2024;10.1
16/11/2024;12
17/11/2024;0.1
18/11/2024;5
19/11/2024;5.7
20/11/2024;0.1
21/11/2024;16
22/11/2024;10
23/11/2024;0.1
24/11/2024;20
25/11/2024;9
26/11/2024;0.7
27/11/2024;13
28/11/2024;0.9
29/11/2024;0.0
30/11/2024;0.0
1/12/2024;0.0
2/12/2024;0.0
3/12/2024;0.0
4/12/2024;0.1
5/12/2024;0.1
6/12/2024;.02
7/12/2024;0.2
8/12/2024;31
9/12/2024;0.6
10/12/2024;0.2
11/12/2024;15
12/12/2024;1.2
13/12/2024;17
14/12/2024;3.3
15/12/2024;0.4
16/12/2024;6
17/12/2024;0.2
18/12/2024;6
19/12/2024;0.1
20/12/2024;0.0
21/12/2024;0.4
22/12/2024;4.6
23/12/2024;2.5
24/12/2024;0.4
25/12/2024;0.0
26/12/2024;0.5
27/12/2024;8
28/12/2024;10
29/12/2024;0.2
30/12/2024;0.7
31/12/2024;27
1/01/2025;0.0
2/01/2025;0.0
3/01/2025;0.0
4/01/2025;0.5
5/01/2025;4.0
6/01/2025;0.5
7/01/2025;0.0
8/01/2025;8.5
9/01/2025;0.0
10/01/2025;0.0
11/01/2025;0.0
12/01/2025;0.02
13/01/2025;0.5
14/01/2025;3.7
15/01/2025;15.1
16/01/2025;8.5
17/01/2025;3.4
18/01/2025;5.9
19/01/2025;16.2
20/01/2025;5.0
21/01/2025;0.0
22/01/2025;0.0
23/01/2025;0.8
24/01/2025;14.4
25/01/2025;0.3
26/01/2025;4.3
27/01/2025;0.0
28/01/2025;0.0
29/01/2025;8.6
30/01/2025;4.5
31/01/2025;8.5
1/02/2025;8.5
2/02/2025;0.0
3/02/2025;0.0
4/02/2025;9.0
5/02/2025;1.5
6/02/2025;10.9
7/02/2025;10.8
8/02/2025;2.2
9/02/2025;0.9
10/02/2025;0.0
11/02/2025;0.2
12/02/2025;0.7
13/02/2025;7.3
14/02/2025;17.3
15/02/2025;0.0
16/02/2025;0.0
17/02/2025;0.0
18/02/2025;43.1
19/02/2025;16.2
20/02/2025;8.3
21/02/2025;18.2
22/02/2025;0.9
23/02/2025;4.6
24/02/2025;6.6
25/02/2025;0.3
26/02/2025;0.8
27/02/2025;0.5
28/02/2025;0.2
1/03/2025;0.8
2/03/2025;0.0
3/03/2025;12.7
4/03/2025;0.4
5/03/2025;4.3
6/03/2025;0.0
7/03/2025;0.0
8/03/2025;0.0
9/03/2025;4.5
10/03/2025;0.0
11/03/2025;8.6
12/03/2025;8.5
13/03/2025;8.5
14/03/2025;0.0
15/03/2025;0.0
16/03/2025;0.0
17/03/2025;0.2
18/03/2025;1.8
19/03/2025;2.2
20/03/2025;9.8
21/03/2025;5.8
22/03/2025;8.8
23/03/2025;0.0
24/03/2025;0.0
25/03/2025;1.0
26/03/2025;0.6
27/03/2025;0.0
28/03/2025;0.0
29/03/2025;0.6
30/03/2025;8.7
31/03/2025;7.8
1/04/2025;13.1
2/04/2025;4.7
3/04/2025;4.2
4/04/2025;0.2
5/04/2025;4.3
6/04/2025;12.4
7/04/2025;2.8
8/04/2025;53.0
9/04/2025;32.7
10/04/2025;7.2
11/04/2025;1.6
12/04/2025;19.2
13/04/2025;0.7
14/04/2025;9.7
15/04/2025;12.9
16/04/2025;1.5
17/04/2025;0.0
18/04/2025;0.0
19/04/2025;8.1
20/04/2025;8.1
21/04/2025;7.6
22/04/2025;7.4
