date;temp
02.01.2003;-9.5
03.01.2003;-0.8
05.01.2003;-12.1
06.01.2003;2.9
08.01.2003;-2.4
10.01.2003;1.0
15.01.2003;-12.0
16.01.2003;-6.8
17.01.2003;-13.0
18.01.2003;-8.6
19.01.2003;-5.1
20.01.2003;-4.6
21.01.2003;-4.1
22.01.2003;-2.0
24.01.2003;0.0
25.01.2003;2.1
26.01.2003;1.9
27.01.2003;1.3
29.01.2003;2.1
30.01.2003;2.6
01.02.2003;-9.2
02.02.2003;0.3
03.02.2003;-6.0
05.02.2003;-2.5
07.02.2003;-0.6
10.02.2003;-8.8
11.02.2003;-10.2
12.02.2003;-6.3
17.02.2003;-10.0
19.02.2003;-19.5
23.02.2003;-9.5
25.02.2003;-3.7
26.02.2003;-7.4
27.02.2003;-9.8
28.02.2003;-5.0
01.03.2003;-2.6
04.03.2003;10.6
05.03.2003;-8.2
08.03.2003;-1.5
09.03.2003;0.5
13.03.2003;1.6
19.03.2003;-13.3
20.03.2003;-7.8
21.03.2003;-3.1
25.03.2003;-5.7
27.03.2003;-11.2
28.03.2003;-7.0
29.03.2003;-3.2
30.03.2003;-0.6
31.03.2003;0.5
01.04.2003;6.5
06.04.2003;16.4
07.04.2003;7.0
08.04.2003;15.8
10.04.2003;14.3
11.04.2003;18.8
12.04.2003;18.0
13.04.2003;24.3
14.04.2003;21.7
15.04.2003;10.6
17.04.2003;17.9
19.04.2003;10.9
20.04.2003;-1.5
22.04.2003;5.7
23.04.2003;11.8
27.04.2003;-2.6
28.04.2003;10.5
29.04.2003;19.1
30.04.2003;17.3
01.05.2003;23.2
02.05.2003;22.2
03.05.2003;27.4
04.05.2003;25.5
05.05.2003;23.2
06.05.2003;22.6
07.05.2003;15.5
08.05.2003;25.8
09.05.2003;25.8
10.05.2003;30.0
11.05.2003;27.2
13.05.2003;33.6
14.05.2003;21.5
15.05.2003;26.0
17.05.2003;23.9
18.05.2003;21.3
19.05.2003;22.8
20.05.2003;27.9
21.05.2003;25.1
23.05.2003;12.7
24.05.2003;28.3
25.05.2003;25.2
26.05.2003;30.4
27.05.2003;20.9
28.05.2003;21.5
29.05.2003;22.9
01.06.2003;18.4
02.06.2003;22.9
04.06.2003;21.8
05.06.2003;17.9
06.06.2003;22.9
07.06.2003;30.4
08.06.2003;28.7
09.06.2003;32.5
10.06.2003;27.1
11.06.2003;31.0
12.06.2003;26.7
13.06.2003;29.5
14.06.2003;30.5
15.06.2003;30.2
16.06.2003;34.5
17.06.2003;28.6
18.06.2003;25.1
19.06.2003;24.3
20.06.2003;29.1
21.06.2003;30.7
22.06.2003;23.8
23.06.2003;27.5
24.06.2003;21.8
25.06.2003;34.3
26.06.2003;28.9
27.06.2003;30.5
28.06.2003;28.5
29.06.2003;28.8
30.06.2003;27.8
01.01.2004;-1.6
02.01.2004;-0.6
03.01.2004;2.4
05.01.2004;-5.0
06.01.2004;-2.0
10.01.2004;-11.2
11.01.2004;-8.1
12.01.2004;-6.9
13.01.2004;-2.4
14.01.2004;-3.8
17.01.2004;-20.1
18.01.2004;-7.8
19.01.2004;-4.2
20.01.2004;-4.9
21.01.2004;-12.1
23.01.2004;-12.5
24.01.2004;-11.4
25.01.2004;-8.9
28.01.2004;-1.4
29.01.2004;1.1
30.01.2004;-2.9
02.02.2004;-5.4
03.02.2004;-0.9
04.02.2004;-2.1
05.02.2004;-4.6
06.02.2004;-6.4
07.02.2004;-5.1
08.02.2004;1.4
09.02.2004;-0.8
11.02.2004;-11.3
